SNN_Train_Error;PAC-bayes bound;SNN_Test_Error
0.8092364083117219;0.999999999;0.7872308731642905
0.6706629527411196;0.999999999;0.6477898850564754
0.603448058888648;0.999999999;0.5791139774015726
0.5571883890479751;0.999999999;0.5453175045272728
0.5361645049747731;0.999999999;0.5182234598253888
0.5128475741995289;0.999999999;0.4968330721052745
0.4936983179872401;0.999999999;0.4791638616389758
0.47931495948917247;0.999999999;0.463845435324332
0.46773667856200246;0.999999999;0.45339113446679585
0.4546980570085927;0.999999999;0.4398762744240227
